design_type,size,is_default
NOSEPIN,NA,1
STUD,NA,1
NECKLACE,NA,1
PENDANT,NA,1
CHAIN,NA,1
BACK CHAIN,NA,1
ANKLET,NA,1
BRACELET,2.0/16,
BRACELET,2.1/16,
BRACELET,2.2/16,
BRACELET,2.3/16,
BRACELET,2.4/16,
BRACELET,2.5/16,
BRACELET,2.6/16,
BRACELET,2.7/16,
BRACELET,2.8/16,
BRACELET,2.9/16,
BRACELET,NA,1
BANGLE,2.0/16,
BANGLE,2.1/16,
BANGLE,2.2/16,
BANGLE,2.3/16,
BANGLE,2.4/16,
BANGLE,2.5/16,
BANGLE,2.6/16,
BANGLE,2.7/16,
BANGLE,2.8/16,
BANGLE,2.9/16,
BANGLE,NA,1
PIPE BANGLE,2.0/16,
PIPE BANGLE,2.1/16,
PIPE BANGLE,2.2/16,
PIPE BANGLE,2.3/16,
PIPE BANGLE,2.4/16,
PIPE BANGLE,2.5/16,
PIPE BANGLE,2.6/16,
PIPE BANGLE,2.7/16,
PIPE BANGLE,2.8/16,
PIPE BANGLE,2.9/16,
PIPE BANGLE,NA,1
CHAIN BRACELET,5 INCH,
CHAIN BRACELET,5.5 INCH,
CHAIN BRACELET,6 INCH,
CHAIN BRACELET,6.5 INCH,
CHAIN BRACELET,7 INCH,
CHAIN BRACELET,7.5 INCH,
CHAIN BRACELET,8 INCH,
CHAIN BRACELET,8.5 INCH,
CHAIN BRACELET,NA,1
RING,0P,1
RING,1P,
RING,2P,
RING,3P,
RING,4P,
RING,5P,
RING,6P,
RING,7P,
RING,8P,
RING,9P,
RING,10P,
RING,11P,
RING,12P,
RING,13P,
RING,14P,
RING,15P,
RING,16P,
RING,17P,
RING,18P,
RING,19P,
RING,20P,
RING,21P,
RING,22P,
RING,23P,
RING,24P,
RING,25P,
RING,26P,
RING,27P,
RING,28P,
RING,29P,
RING,30P,
RING,MIX(10-16),
CHAIN NECKLACE,,
